Name,Team,Matches,Wickets,Balls,Wickper100balls,Type,StrikeRate,Omatches,Owickets,Oballs,OstrikeRate
A Flintoff,ENG,79,226,14951,1.51,Pace,66.15,39,117,7290,62.3
A Kumble,IND,132,619,40850,1.52,Spin,65.99,69,269,20058,74.5
A Nel,SA,36,123,7630,1.61,Pace,62.03,-99,-99,-99,-99
AA Donald,SA,72,330,15519,2.13,Pace,47.03,34,153,7551,49.3
AA Mallett,AUS,38,132,9990,1.32,Spin,75.68,-99,-99,-99,-99
Abdul Qadir,PAK,67,236,17126,1.38,Spin,72.57,-99,-99,-99,-99
Abdul Razzaq,PAK,46,100,7008,1.43,Pace,70.08,-99,-99,-99,-99
AF Giles,ENG,54,143,12180,1.17,Spin,85.17,29,80,6776,84.7
AK Davidson,AUS,44,186,11587,1.61,Pace,62.3,27,102,6753,66.2
AL Valentine,WI,36,139,12953,1.07,Spin,93.19,22,94,7684,81.7
AME Roberts,WI,47,202,11135,1.81,Pace,55.12,29,130,6961,53.5
AN Connolly,AUS,29,102,7818,1.3,Pace,76.65,-99,-99,-99,-99
AR Caddick,ENG,62,234,13558,1.73,Pace,57.94,29,106,6245,58.9
ARC Fraser,ENG,46,177,10876,1.63,Pace,61.45,23,87,5011,57.5
AV Bedser,ENG,51,236,15918,1.48,Pace,67.45,-99,-99,-99,-99
AW Greig,ENG,58,141,9802,1.44,Pace,69.52,27,82,5215,63.5
B Lee,AUS,76,310,16531,1.88,Pace,53.33,35,124,6978,56.2
B Yardley,AUS,33,126,8909,1.41,Spin,70.71,-99,-99,-99,-99
BA Reid,AUS,27,113,6244,1.81,Pace,55.26,-99,-99,-99,-99
BA Stokes,ENG,100,197,11471,1.72,Pace,58.23,56,99,6151,62.1
BL Cairns,NZ,43,130,10628,1.22,Pace,81.75,-99,-99,-99,-99
BR Taylor,NZ,30,111,6334,1.75,Pace,57.06,20,80,4114,51.4
BS Bedi,IND,67,266,21364,1.25,Spin,80.32,37,129,10973,85
BS Chandrasekhar,IND,58,242,15963,1.52,Spin,65.96,26,100,6778,67.7
C Blythe,ENG,19,100,4546,2.2,Spin,45.46,-99,-99,-99,-99
CA Walsh,WI,132,519,30019,1.73,Pace,57.84,74,290,16519,56.9
CEH Croft,WI,27,125,6165,2.03,Pace,49.32,-99,-99,-99,-99
CEL Ambrose,WI,98,405,22103,1.83,Pace,54.58,46,202,10778,53.3
CJ McDermott,AUS,71,291,16586,1.75,Pace,57,28,98,6192,63.1
CL Cairns,NZ,62,218,11698,1.86,Pace,53.66,31,109,5940,54.4
CL Hooper,WI,102,114,13794,0.83,Spin,121,-99,-99,-99,-99
CM Old,ENG,46,143,8858,1.61,Pace,61.94,-99,-99,-99,-99
CR Woakes,ENG,48,149,8569,1.74,Pace,57.51,-99,-99,-99,-99
CRD Fernando,SL,40,100,6181,1.62,Pace,61.81,-99,-99,-99,-99
CS Martin,NZ,71,233,14026,1.66,Pace,60.2,33,87,6055,69.5
CTB Turner,AUS,17,101,5179,1.95,Pace,51.28,-99,-99,-99,-99
CV Grimmett,AUS,37,216,14513,1.49,Spin,67.19,18,111,7718,69.5
D Bishoo,WI,36,117,8067,1.45,Spin,68.95,-99,-99,-99,-99
D Gough,ENG,58,229,11821,1.94,Pace,51.62,26,105,5502,52.4
DA Allen,ENG,39,122,11297,1.08,Spin,92.6,25,87,8350,95.9
Danish Kaneria,PAK,61,261,17697,1.47,Spin,67.8,36,152,10311,67.8
DE Malcolm,ENG,40,128,8480,1.51,Pace,66.25,-99,-99,-99,-99
DG Cork,ENG,37,131,7678,1.71,Pace,58.61,-99,-99,-99,-99
DK Lillee,AUS,70,355,18467,1.92,Pace,52.02,26,124,6933,55.9
DK Morrison,NZ,48,160,10064,1.59,Pace,62.9,-99,-99,-99,-99
DL Underwood,ENG,86,297,21862,1.36,Spin,73.61,44,152,11889,78.2
DL Vettori,NZ,113,362,28814,1.26,Spin,79.6,56,203,15313,75.4
DR Doshi,IND,33,114,9322,1.22,Spin,81.77,-99,-99,-99,-99
DVP Wright,ENG,34,108,8135,1.33,Spin,75.32,-99,-99,-99,-99
DW Steyn,SA,93,439,18608,2.36,Pace,42.39,41,178,8112,45.5
EAS Prasanna,IND,49,189,14353,1.32,Spin,75.94,27,94,7660,81.4
EJ Chatfield,NZ,43,123,10360,1.19,Pace,84.23,-99,-99,-99,-99
Fazal Mahmood,PAK,34,139,9834,1.41,Pace,70.75,-99,-99,-99,-99
FH Edwards,WI,55,165,9602,1.72,Pace,58.19,32,86,5412,62.9
FJ Titmus,ENG,53,153,15118,1.01,Spin,98.81,29,99,9995,100.9
FS Trueman,ENG,67,307,15178,2.02,Pace,49.44,20,78,4883,62.6
G Giffen,AUS,31,103,6391,1.61,Pace,62.05,-99,-99,-99,-99
GA Lohmann,ENG,18,112,3830,2.92,Pace,34.2,9,76,2303,30.3
GAR Lock,ENG,49,174,13147,1.32,Spin,75.56,-99,-99,-99,-99
GD McGrath,AUS,124,563,29248,1.92,Pace,51.95,58,274,13419,48.9
GD McKenzie,AUS,60,246,17681,1.39,Pace,71.87,35,137,10060,73.4
GF Lawson,AUS,46,180,11118,1.62,Pace,61.77,23,84,5480,65.2
GG Arnold,ENG,34,115,7650,1.5,Pace,66.52,-99,-99,-99,-99
GP Swann,ENG,60,255,15349,1.66,Spin,60.19,28,135,8513,63
GR Dilley,ENG,41,138,8192,1.68,Pace,59.36,-99,-99,-99,-99
GS Sobers,WI,93,235,21599,1.09,Pace,91.91,49,128,11511,89.9
H Trumble,AUS,32,141,8099,1.74,Spin,57.44,-99,-99,-99,-99
H Verity,ENG,40,144,11173,1.29,Spin,77.59,-99,-99,-99,-99
Harbhajan Singh,IND,103,417,28580,1.46,Spin,68.54,48,152,11591,76.2
HH Streak,ZIM,65,216,13559,1.59,Pace,62.77,32,96,6411,66.7
HJ Tayfield,SA,37,170,13568,1.25,Spin,79.81,17,78,5947,76.2
HMRKB Herath,SL,93,433,25993,1.67,Spin,60.03,44,155,11721,75.6
I Sharma,IND,105,311,19160,1.62,Pace,61.61,63,207,12334,59.5
IK Pathan,IND,29,100,5884,1.7,Pace,58.84,-99,-99,-99,-99
Imran Khan,PAK,88,362,19458,1.86,Pace,53.75,50,199,11785,59.2
Intikhab Alam,PAK,47,125,10474,1.19,Spin,83.79,-99,-99,-99,-99
Iqbal Qasim,PAK,50,171,13019,1.31,Spin,76.13,-99,-99,-99,-99
IR Bishop,WI,43,161,8407,1.92,Pace,52.22,22,90,4728,52.5
IT Botham,ENG,102,383,21815,1.76,Pace,56.96,43,157,9572,60.9
IWG Johnson,AUS,45,109,8780,1.24,Spin,80.55,-99,-99,-99,-99
J Briggs,ENG,33,118,5332,2.21,Spin,45.19,-99,-99,-99,-99
J Garner,WI,58,259,13169,1.97,Pace,50.85,29,136,6885,50.6
J Srinath,IND,67,236,15104,1.56,Pace,64,35,128,9074,70.8
JA Snow,ENG,49,202,12021,1.68,Pace,59.51,-99,-99,-99,-99
JB Statham,ENG,70,252,16056,1.57,Pace,63.71,33,104,7296,70.1
JC Laker,ENG,46,193,12027,1.6,Spin,62.32,-99,-99,-99,-99
JE Emburey,ENG,64,147,15391,0.96,Spin,104.7,31,84,8534,101.5
JE Taylor,WI,46,130,7757,1.68,Pace,59.67,-99,-99,-99,-99
JG Bracewell,NZ,41,102,8403,1.21,Spin,82.38,-99,-99,-99,-99
JH Kallis,SA,166,292,20232,1.44,Pace,69.29,78,127,9951,78.3
JH Wardle,ENG,28,102,6597,1.55,Spin,64.68,-99,-99,-99,-99
JJ Bumrah,IND,35,157,7044,2.23,Pace,44.87,28,126,6049,48
JM Anderson,ENG,185,696,39655,1.76,Pace,56.98,81,263,16961,64.4
JN Gillespie,AUS,71,259,14234,1.82,Pace,54.96,42,149,8233,55.2
JO Holder,WI,64,157,10693,1.47,Pace,68.11,-99,-99,-99,-99
JR Hazlewood,AUS,68,263,14211,1.85,Pace,54.03,29,101,5700,56.4
JR Thomson,AUS,51,200,10535,1.9,Pace,52.68,-99,-99,-99,-99
K Rabada,SA,62,291,11416,2.55,Pace,39.23,29,107,5308,49.6
KA Maharaj,SA,50,158,9575,1.65,Spin,60.6,24,86,5443,63.2
KAJ Roach,WI,81,270,14464,1.87,Pace,53.57,38,86,5855,68
KD Ghavri,IND,39,109,7036,1.55,Pace,64.55,-99,-99,-99,-99
KR Miller,AUS,55,170,10461,1.63,Pace,61.54,27,85,5596,65.8
LR Gibbs,WI,79,309,27115,1.14,Spin,87.75,47,183,16005,87.4
M Dillon,WI,38,131,8704,1.51,Pace,66.44,-99,-99,-99,-99
M Morkel,SA,86,309,16498,1.87,Pace,53.39,45,154,8669,56.2
M Muralidaran,SL,133,800,44039,1.82,Spin,55.05,60,307,18978,61.8
M Ntini,SA,101,390,20834,1.87,Pace,53.42,48,141,9568,67.8
MA Holding,WI,60,249,12680,1.96,Pace,50.92,37,163,8367,51.3
MA Noble,AUS,42,121,7159,1.69,Pace,59.17,-99,-99,-99,-99
MA Starc,AUS,87,353,17105,2.06,Pace,48.46,37,136,6764,49.7
MA Wood,ENG,33,108,5996,1.8,Pace,55.52,-99,-99,-99,-99
MD Marshall,WI,81,376,17584,2.14,Pace,46.77,50,219,10912,49.8
MDK Perera,SL,43,161,10805,1.49,Spin,67.11,-99,-99,-99,-99
Mehidy Hasan Miraz,BAN,41,159,10098,1.57,Spin,63.51,-99,-99,-99,-99
MG Hughes,AUS,53,212,12285,1.73,Pace,57.95,22,86,5163,60
MG Johnson,AUS,73,313,16001,1.96,Pace,51.12,39,142,8139,57.3
MH Mankad,IND,44,162,14686,1.1,Spin,90.65,-99,-99,-99,-99
MHN Walker,AUS,34,138,10094,1.37,Pace,73.14,19,80,6170,77.1
MJ Hoggard,ENG,67,248,13909,1.78,Pace,56.08,34,126,7216,57.2
MJ Leach,ENG,36,126,8590,1.47,Spin,68.17,23,94,6581,70
MM Ali,ENG,68,204,12610,1.62,Spin,61.81,29,91,6336,69.6
Mohammad Amir,PAK,36,119,7619,1.56,Pace,64.03,36,119,7619,64
Mohammad Asif,PAK,23,106,5171,2.05,Pace,48.78,19,96,4360,45.4
Mohammad Rafique,BAN,33,100,8744,1.14,Spin,87.44,-99,-99,-99,-99
Mohammed Shami,IND,64,229,11515,1.99,Pace,50.28,43,153,8276,54
MS Kasprowicz,AUS,38,113,7140,1.58,Pace,63.19,-99,-99,-99,-99
MS Panesar,ENG,50,167,12475,1.34,Spin,74.7,28,86,7356,85.5
Mushtaq Ahmed,PAK,52,185,12532,1.48,Spin,67.74,31,118,7866,66.6
MW Tate,ENG,39,155,12523,1.24,Pace,80.79,-99,-99,-99,-99
N Boje,SA,43,100,8620,1.16,Spin,86.2,-99,-99,-99,-99
N Kapil Dev,IND,131,434,27740,1.56,Pace,63.92,66,215,15529,72.2
N Wagner,NZ,64,260,13725,1.89,Pace,52.79,23,82,5012,61.1
NAT Adcock,SA,26,104,6391,1.63,Pace,61.45,-99,-99,-99,-99
NM Lyon,AUS,127,517,32440,1.59,Spin,62.75,60,258,15849,61.4
NS Yadav,IND,35,102,8360,1.22,Spin,81.96,-99,-99,-99,-99
PAJ DeFreitas,ENG,44,140,9838,1.42,Pace,70.27,-99,-99,-99,-99
PCR Tufnell,ENG,42,121,11288,1.07,Spin,93.29,-99,-99,-99,-99
PH Edmonds,ENG,51,125,12028,1.04,Spin,96.22,-99,-99,-99,-99
PJ Cummins,AUS,60,263,12272,2.14,Pace,46.66,27,111,5568,50.1
PL Harris,SA,37,103,8809,1.17,Spin,85.52,-99,-99,-99,-99
PM Pollock,SA,28,116,6522,1.78,Pace,56.22,-99,-99,-99,-99
PM Siddle,AUS,67,221,13907,1.59,Pace,62.93,33,99,6916,69.8
PP Ojha,IND,24,113,7633,1.48,Spin,67.55,-99,-99,-99,-99
PR Adams,SA,45,134,8850,1.51,Spin,66.04,26,77,5066,65.7
PR Reiffel,AUS,35,104,6403,1.62,Pace,61.57,-99,-99,-99,-99
PT Collins,WI,32,106,6964,1.52,Pace,65.7,-99,-99,-99,-99
R Ashwin,IND,98,501,25785,1.94,Spin,51.47,40,153,9510,62.1
R Benaud,AUS,63,248,19108,1.3,Spin,77.05,34,144,10064,69.8
R Illingworth,ENG,61,122,11934,1.02,Spin,97.82,-99,-99,-99,-99
R Peel,ENG,20,101,5216,1.94,Spin,51.64,-99,-99,-99,-99
RA Jadeja,IND,70,287,16802,1.71,Spin,58.54,28,81,5904,72.8
RAS Lakmal,SL,70,171,12443,1.37,Pace,72.77,43,133,8979,67.5
RC Motz,NZ,32,100,7034,1.42,Pace,70.34,-99,-99,-99,-99
RGD Willis,ENG,90,325,17357,1.87,Pace,53.41,49,149,9236,61.9
RJ Harris,AUS,27,113,5736,1.97,Pace,50.76,-99,-99,-99,-99
RJ Shastri,IND,80,151,15751,0.96,Spin,104.31,42,78,8282,106.1
RM Hogg,AUS,38,123,7633,1.61,Pace,62.06,-99,-99,-99,-99
RO Collinge,NZ,35,116,7689,1.51,Pace,66.28,-99,-99,-99,-99
RR Lindwall,AUS,61,228,13650,1.67,Pace,59.87,32,116,7085,61
S Ramadhin,WI,43,158,13939,1.13,Spin,88.22,26,100,8391,83.9
S Venkataraghavan,IND,57,156,14877,1.05,Spin,95.37,-99,-99,-99,-99
Saeed Ajmal,PAK,35,178,11592,1.54,Spin,65.12,35,178,11592,65.1
Saqlain Mushtaq,PAK,49,208,14070,1.48,Spin,67.64,30,131,8895,67.9
Sarfraz Nawaz,PAK,55,177,13951,1.27,Pace,78.82,28,96,7457,77.6
SCG MacGill,AUS,44,208,11237,1.85,Spin,54.02,-99,-99,-99,-99
SCJ Broad,ENG,167,604,33698,1.79,Pace,55.79,69,206,13719,66.5
SF Barnes,ENG,27,189,7873,2.4,Pace,41.66,17,126,5608,44.5
Shaheen Shah Afridi,PAK,29,113,5814,1.94,Pace,51.45,21,84,4212,50.1
Shakib Al Hasan,BAN,66,233,14775,1.58,Spin,63.41,-99,-99,-99,-99
Shoaib Akhtar,PAK,46,178,8143,2.19,Pace,45.75,25,95,4258,44.8
Sir RJ Hadlee,NZ,86,431,21918,1.97,Pace,50.85,43,230,11255,48.9
SJ Harmison,ENG,63,226,13375,1.69,Pace,59.18,31,93,6530,70.2
SK Warne,AUS,145,708,40705,1.74,Spin,57.49,76,389,21288,54.7
SL Malinga,SL,30,101,5209,1.94,Pace,51.57,-99,-99,-99,-99
SM Pollock,SA,108,421,24353,1.73,Pace,57.85,49,186,12000,64.5
SP Gupte,IND,36,149,11284,1.32,Spin,75.73,-99,-99,-99,-99
ST Finn,ENG,36,125,6412,1.95,Pace,51.3,-99,-99,-99,-99
ST Gabriel,WI,59,166,9379,1.77,Pace,56.5,30,78,4788,61.3
TA Boult,NZ,78,317,17417,1.82,Pace,54.94,41,144,8635,59.9
Taijul Islam,BAN,44,192,12019,1.6,Spin,62.6,-99,-99,-99,-99
TE Bailey,ENG,61,132,9712,1.36,Pace,73.58,-99,-99,-99,-99
TG Southee,NZ,98,376,22193,1.69,Pace,59.02,44,152,9660,63.5
TL Goddard,SA,41,123,11736,1.05,Pace,95.41,-99,-99,-99,-99
TM Alderman,AUS,41,170,10181,1.67,Pace,59.89,21,102,5557,54.4
Umar Gul,PAK,47,163,9599,1.7,Pace,58.89,36,111,7100,63.9
UT Yadav,IND,57,170,8979,1.89,Pace,52.82,-99,-99,-99,-99
VA Holder,WI,40,109,9095,1.2,Pace,83.44,-99,-99,-99,-99
VD Philander,SA,64,224,11391,1.97,Pace,50.85,28,78,4983,63.8
W Rhodes,ENG,58,127,8225,1.54,Spin,64.76,-99,-99,-99,-99
WA Johnston,AUS,40,160,11048,1.45,Pace,69.05,-99,-99,-99,-99
Waqar Younis,PAK,87,373,16224,2.3,Pace,43.5,54,211,9944,47.1
Wasim Akram,PAK,104,414,22627,1.83,Pace,54.65,63,260,14755,56.7
WJ O'Reilly,AUS,27,144,10024,1.44,Spin,69.61,15,85,5196,61.1
WPUJC Vaas,SL,111,355,23438,1.51,Pace,66.02,55,175,12500,71.4
WW Hall,WI,48,192,10421,1.84,Pace,54.28,29,118,6389,54.1
Yasir Shah,PAK,48,244,14255,1.71,Spin,58.42,44,230,13277,57.7
Z Khan,IND,92,311,18785,1.66,Pace,60.4,54,207,11476,55.4
